CustomerKey,Quantity_sum,Quantity_count,Quantity_mean
301,2,1,2.0
325,27,10,2.7
554,14,4,3.5
1042,6,3,2.0
1314,13,5,2.6
1568,24,9,2.6666666666666665
1585,20,4,5.0
1626,15,4,3.75
1642,2,1,2.0
1863,14,8,1.75
2238,6,3,2.0
2248,8,2,4.0
2435,12,4,3.0
2469,6,2,3.0
2512,19,5,3.8
2792,1,1,1.0
3002,10,3,3.3333333333333335
3203,25,8,3.125
3327,8,3,2.6666666666666665
3575,3,1,3.0
3964,6,1,6.0
4174,14,5,2.8
5097,2,1,2.0
5445,3,1,3.0
5962,18,8,2.25
6258,17,3,5.666666666666667
6308,8,3,2.6666666666666665
7109,8,2,4.0
7566,12,3,4.0
7700,3,1,3.0
7783,5,1,5.0
8098,3,3,1.0
8181,15,2,7.5
8789,10,2,5.0
8945,10,3,3.3333333333333335
9167,3,1,3.0
9184,14,4,3.5
9456,16,8,2.0
9812,11,6,1.8333333333333333
9915,14,4,3.5
10039,3,1,3.0
10299,4,2,2.0
10393,7,1,7.0
11035,1,1,1.0
12160,29,9,3.2222222222222223
12365,8,2,4.0
12392,17,6,2.8333333333333335
12649,9,1,9.0
12729,23,6,3.8333333333333335
12859,3,2,1.5
13045,6,3,2.0
13071,2,2,1.0
13365,1,1,1.0
14069,3,1,3.0
14180,5,2,2.5
14906,12,3,4.0
14962,19,6,3.1666666666666665
14988,11,5,2.2
15391,6,3,2.0
15718,14,6,2.3333333333333335
16716,12,3,4.0
17412,24,6,4.0
17811,14,3,4.666666666666667
18309,4,2,2.0
18470,16,6,2.6666666666666665
18493,8,1,8.0
18887,10,3,3.3333333333333335
19082,12,5,2.4
19207,11,4,2.75
19404,3,2,1.5
19534,10,3,3.3333333333333335
19726,3,2,1.5
19753,11,3,3.6666666666666665
20069,25,8,3.125
20092,27,5,5.4
20237,23,6,3.8333333333333335
20623,22,5,4.4
20946,15,5,3.0
21203,2,1,2.0
21424,18,5,3.6
21460,14,6,2.3333333333333335
21523,14,4,3.5
21575,1,1,1.0
21819,6,3,2.0
22540,40,8,5.0
23203,16,9,1.7777777777777777
23267,2,2,1.0
23320,4,1,4.0
23599,15,4,3.75
25771,12,4,3.0
25864,17,5,3.4
26477,17,6,2.8333333333333335
26642,8,2,4.0
26728,7,2,3.5
27356,9,4,2.25
27492,30,10,3.0
27616,16,6,2.6666666666666665
27945,2,1,2.0
28690,9,2,4.5
29041,8,2,4.0
29278,1,1,1.0
29475,8,3,2.6666666666666665
29555,14,3,4.666666666666667
29647,8,3,2.6666666666666665
29689,17,6,2.8333333333333335
29812,2,2,1.0
29973,20,6,3.3333333333333335
30090,10,5,2.0
31086,8,4,2.0
31164,12,3,4.0
31236,11,2,5.5
31784,14,3,4.666666666666667
32037,19,6,3.1666666666666665
32455,3,1,3.0
32488,1,1,1.0
32511,17,4,4.25
32538,2,1,2.0
33036,5,3,1.6666666666666667
33205,32,10,3.2
33444,24,8,3.0
34081,30,8,3.75
34143,7,3,2.3333333333333335
34431,1,1,1.0
34850,6,2,3.0
34915,2,1,2.0
35257,7,3,2.3333333333333335
35703,5,3,1.6666666666666667
35733,29,9,3.2222222222222223
35795,13,5,2.6
36112,22,7,3.142857142857143
36336,1,1,1.0
36418,2,2,1.0
36507,28,6,4.666666666666667
37070,19,4,4.75
37251,13,3,4.333333333333333
37408,12,4,3.0
37580,2,2,1.0
37585,11,3,3.6666666666666665
37802,40,10,4.0
37991,15,4,3.75
38006,1,1,1.0
38036,4,2,2.0
38195,31,10,3.1
38212,4,3,1.3333333333333333
38613,33,9,3.6666666666666665
39246,4,2,2.0
39268,5,1,5.0
39314,6,2,3.0
39582,18,3,6.0
39592,10,2,5.0
39894,8,1,8.0
39927,6,3,2.0
40363,14,4,3.5
40443,4,1,4.0
40649,8,3,2.6666666666666665
40669,9,2,4.5
41281,10,5,2.0
41570,12,4,3.0
42177,6,4,1.5
42364,26,10,2.6
42408,7,2,3.5
42840,5,2,2.5
42956,2,2,1.0
43784,9,3,3.0
43840,14,5,2.8
44493,7,5,1.4
44728,27,8,3.375
45172,2,2,1.0
