Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,delivery_status,total_amount_usd
366000,1,2025-10-16,2025-11-12,265598,10,1304,1,CAD,Delivered,68.0
366001,1,2024-04-24,2024-05-03,1269051,0,1048,2,USD,Delivered,854.0
366002,1,2024-10-08,2024-10-16,266019,0,1106,7,CAD,Delivered,2254.0
366004,1,2024-05-22,1900-01-01,1107461,38,163,6,GBP,Lost,9553.2
366005,1,2025-11-23,2025-12-03,844003,33,421,4,EUR,Delivered,1876.0
366007,1,2025-07-12,2025-07-31,2035771,43,1617,1,USD,Delivered,57.99
366008,1,2025-08-27,2025-09-13,759705,29,1154,9,EUR,Delivered,8982.0
366009,1,2024-01-31,2024-02-08,254540,9,1648,1,CAD,Delivered,109.99
366010,1,2024-04-05,2024-04-25,370077,0,618,5,CAD,Delivered,1495.0
366011,1,2024-08-11,2024-08-26,1984985,66,128,7,USD,Delivered,1003.8
366012,1,2024-01-28,2024-02-08,1977527,65,1807,1,USD,Delivered,32.0
366013,1,2025-10-27,2025-11-18,1187306,41,1654,5,GBP,Delivered,1299.95
366014,1,2025-12-19,2025-12-29,738549,0,123,1,EUR,Delivered,279.99
366016,1,2025-03-05,2025-03-11,1982762,63,1253,7,USD,Delivered,139.93
367000,1,2024-08-13,2024-08-19,1438050,56,1176,1,USD,Delivered,1000.0
367003,1,2025-04-04,2025-04-26,980164,40,153,2,GBP,Delivered,939.94
367004,1,2025-08-26,2025-08-28,1853699,56,136,1,USD,Delivered,349.95
367005,1,2024-01-07,2024-01-26,758280,0,1691,1,EUR,Delivered,5.39
367006,1,2024-08-08,2024-08-17,693285,18,2445,3,EUR,Delivered,14.97
367007,1,2024-12-10,1900-01-01,1730985,57,65,7,USD,Lost,1267.0
367008,1,2024-04-04,1900-01-01,763246,28,1951,3,EUR,Lost,9599.97
367009,1,2025-01-24,2025-02-22,1512558,57,934,1,USD,Delivered,79.0
367010,1,2024-09-27,2024-10-09,1322959,66,917,1,USD,Delivered,179.0
367011,1,2025-04-15,2025-05-14,507981,22,39,1,EUR,Delivered,299.23
367012,1,2025-07-03,2025-07-26,209990,9,1653,5,CAD,Delivered,549.95
367013,1,2025-01-22,2025-01-29,815458,31,1733,2,EUR,Delivered,45.58
367014,1,2025-07-19,1900-01-01,1839627,56,1184,3,USD,In Transit,2670.0
367015,1,2024-10-27,2024-11-18,911025,42,2296,7,GBP,Delivered,1879.5
367016,1,2025-10-05,2025-10-30,1633409,63,1487,1,USD,Delivered,267.0
367017,1,2025-08-14,2025-08-15,1612400,47,1203,4,USD,Delivered,3920.0
367018,1,2024-07-15,2024-07-18,1301565,59,1245,2,USD,Delivered,336.0
367019,1,2024-02-16,2024-03-11,793573,29,1947,2,EUR,Delivered,986.0
367020,1,2024-10-23,2024-11-05,799366,29,448,6,EUR,Delivered,1619.4
367021,1,2024-08-26,2024-09-18,243917,10,1445,4,CAD,Delivered,1072.0
367022,1,2024-10-11,2024-10-31,942807,42,1596,1,GBP,Delivered,12.66
367023,1,2024-06-15,2024-06-17,129318,2,1139,5,AUD,Delivered,1640.0
367024,1,2024-12-29,2025-01-26,1713253,50,302,8,USD,Delivered,7992.0
367025,1,2025-11-17,2025-12-04,1736623,56,1608,1,USD,Delivered,109.99
367026,1,2025-11-30,2025-12-11,1836599,53,2218,2,USD,Delivered,239.98
367027,1,2024-03-14,2024-04-07,1482586,53,2451,3,USD,Delivered,89.97
367028,1,2024-06-24,2024-07-22,607356,0,976,1,EUR,Delivered,188.0
367029,1,2024-09-07,2024-09-24,1260533,66,1607,1,USD,Delivered,179.99
367030,1,2025-04-18,2025-04-21,1843882,51,2010,7,USD,Delivered,979.93
367031,1,2024-10-03,2024-11-01,909014,0,120,3,GBP,Delivered,359.97
368000,1,2024-08-12,2024-09-04,892838,32,1440,1,EUR,Delivered,189.0
368001,1,2025-12-02,1900-01-01,1670789,64,1598,3,USD,In Transit,173.64
369000,1,2024-11-28,2024-12-15,1143828,37,2167,9,GBP,Delivered,1467.0
369001,1,2024-08-22,2024-08-31,269337,8,1301,1,CAD,Delivered,95.0
